Ename,identity,certigierCertificateNo,certigierName
延放酒店,921000004DWMUGCF71,110105196308152028,家中姬
港之电信,91100000AAJK9DW88L,362422197605311051,束婕
和脑酒店,99100000DRJ9X9FL9N,110109196311131979,松义雄
昌二公司,93100000X0JLHDGW1W,362432201112052161,池超
嘉泪电信,92100000FLZRM6KB3R,110100195511012235,龙信园
正电电信,911000007ETXEY2C5Y,11010119830204218X,方光
运自电气,92100000FYGBGGRT07,110102199911061758,孟先
建莓电信,92100000ZNGW1LFZX7,362426201503081245,储琛
济校建材,921000009NTFD3KJ4P,110109196710162078,秦健
中葡服饰,9210000003AD6BEK9R,362428199612112905,宫都可
建诗公司,911000006F8P7ABZ3G,362422195603052720,滕无叶
嘉眼矿业,93100000TXLB3HK21J,110105199803261225,程伦
程师公司,92100000EG92KMR92C,110109199505012656,缪乐
延世化工,99100000R8HHPL2N0P,362432198111022847,强上玲
方萄矿业,921000002G6CPMW30Y,362430199104112408,阳夏凤
明佐矿业,92100000TKM51Z6Z3P,362426197309261868,皇甫义兰
昌二化工,91100000LY3HA3R249,362432196201302181,宁友俊
元之电信,92100000L4HRUDRW5M,36240219920721214X,郏枫
达快矿业,92100000QBLARUUB2K,110106196309121895,惠马勤
